iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
TCD,2022,IPC/CH,9674973,4026354,1997572,101289,0,15800188,2098861,0.132837723196711,0.0464161143736602,0.0168966203299466
TGO,2021,IPC/CH,4171219,622601,38911,0,0,4832731,38911,0.0080515551144891,0.0026838517048297,0.000894617234943233
TGO,2022,IPC/CH,4004615,1399163,481942,0,0,5885720,481942,0.0818832700162427,0.0272944233387476,0.00909814111291586
TZA,2017,IPC/CH,135631,582705,101116,17952,0,837404,119068,0.142187044723933,0.0545415753129115,0.0229444542631487
TZA,2020,IPC/CH,2198685,1655558,760566,224711,0,4839520,985277,0.203589818825007,0.08334077208759,0.0380985901264772
TZA,2022,IPC/CH,1997354,929126,496786,94936,0,3518202,591722,0.168188750958586,0.0650576629767137,0.0276823849859167
UGA,2017,IPC/CH,24191355,9243678,1600667,0,0,35035700,1600667,0.0456867423799154,0.0152289141266384,0.00507630470887948
UGA,2018,IPC/CH,985792,1321643,277265,0,0,2584700,277265,0.107271636940457,0.0357572123134858,0.0119190707711619
UGA,2019,IPC/CH,792793,1316955,461378,13574,0,2584700,474952,0.183755174681781,0.0630022826633652,0.0221677994007471
UGA,2020,IPC/CH,4565944,4315167,1980055,622795,0,11483961,2602850,0.226650891621802,0.0936275384425287,0.0432606736376838
UGA,2021,IPC/CH,412555,433335,285770,75140,0,1206800,360910,0.299063639376864,0.120442492542261,0.0539839060140684
UGA,2022,IPC/CH,334960,392790,427950,89900,0,1245600,517850,0.415743416827232,0.162639156497538,0.0702517305359309
YEM,2017,IPC/CH,5128620,6139700,10187750,6778930,0,28235000,16966680,0.600909509474057,0.28033303819137,0.14679759164158
YEM,2018,IPC/CH,5094266,8877440,10904049,4970798,59812,29906365,15934659,0.532818314763429,0.234343436032207,0.116383805104885
YEM,2019,IPC/CH,364958,769586,840646,385901,0,2361091,1226547,0.519483154185925,0.227641656618346,0.11220095568814
YEM,2020,IPC/CH,6544500,10020000,9815000,3648000,16500,30044000,13479500,0.448658634003462,0.190392979186083,0.0908131037441382
YEM,2021,IPC/CH,5258000,8644500,11042000,5058000,47000,30049500,16147000,0.537346711259755,0.236265717122304,0.117202911492334
YEM,2022,IPC/CH,5072320,7218500,11712000,7140500,161000,31304320,19013500,0.607376234334431,0.281920620966478,0.148091026698197
ZAF,2020,IPC/CH,34950496,14844785,8175072,1430169,0,59400522,9605241,0.161702972913268,0.0619265601739998,0.0259925661932735
ZAF,2021,IPC/CH,29966233,18362332,9598772,2197175,0,60124512,11795947,0.196191979071697,0.0775785756065679,0.0339803580350797
ZMB,2018,IPC/CH,3836971,1991708,876392,375146,0,7080217,1251538,0.176765486142586,0.0765835284427017,0.0373023092999049
ZMB,2019,IPC/CH,4073793,3127729,1866273,411883,0,9479678,2278156,0.240319977113147,0.0945896755846208,0.0411852362261437
ZMB,2020,IPC/CH,2526209,2387270,1651434,324923,0,6889836,1976357,0.286851094859152,0.111336951029507,0.0475922632830286
ZMB,2021,IPC/CH,2621821,2513763,1485332,238917,0,6859833,1724249,0.251354369705502,0.0953942561964215,0.0395377295951989
ZMB,2022,IPC/CH,4937184,6601017,1952126,0,0,13490327,1952126,0.14470561017535,0.0482352033917834,0.0160784011305945
ZWE,2019,IPC/CH,3159947,2679446,2474752,1106533,0,9420678,3581285,0.380151513511023,0.165869802576842,0.0813916884632814
ZWE,2020,IPC/CH,2580566,2784140,3294336,1047090,0,9706132,4341426,0.44728693160159,0.185055385605718,0.0856582896942538
ZWE,2021,IPC/CH,3221157,3104737,2611638,768595,0,9706127,3380233,0.348257652099545,0.142481410625131,0.0650908212696761
