iso3,area,year,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,Kabul,2019,1760448,1760448,1257463,251493,0,5029852,1508956,0.300000079525203,0.116666719683469,0.0500000353445345
AFG,Kabul,2020,260821,298082,183092,109855,0,851850,292947,0.343895051945765,0.157618516561993,0.0811973939073781
AFG,Kabul,2021,223561,402737,302053,201369,0,1129720,503422,0.445616612966045,0.207954478395827,0.108928564403372
AFG,Kabul,2022,251711,302053,402737,151026,0,1107527,553763,0.499999548543738,0.212120938511356,0.101009927723859
AFG,Kabul Urban,2020,1718993,1783785,1114866,644622,0,5262266,1759488,0.334359380540626,0.152286106403591,0.0779840218390075
AFG,Kabul Urban,2021,1560812,2576436,2069123,886767,0,7093138,2955890,0.416725291401352,0.180580959607252,0.0879753392958409
AFG,Kabul Urban,2022,1182356,1773534,2364712,886767,0,6207369,3251479,0.523809523809524,0.222222222222222,0.105820105820106
AFG,Kandahar,2017,391495,548093,221847,143548,0,1304983,365395,0.279999816089558,0.129999905490467,0.0677777241372323
AFG,Kandahar,2018,169273,253909,253909,169273,0,846364,423182,0.5,0.233333412101649,0.122222300990538
AFG,Kandahar,2019,615616,478813,410411,136804,0,1641644,547215,0.333333536381822,0.138889024254548,0.0648149050585876
AFG,Kandahar,2020,344497,301435,301435,131450,0,1078817,432885,0.401258971632816,0.174368467188287,0.0851998068254394
AFG,Kandahar,2021,280507,405493,347565,173783,0,1207348,521348,0.431812534579922,0.191916774064589,0.0959584330468284
AFG,Kandahar,2022,289638,347565,405493,173783,0,1216479,579276,0.476190711060364,0.206349362929131,0.100529204915717
AFG,Kandahar Urban,2020,130815,183141,177378,104652,0,595986,282030,0.473215813794284,0.216270180843174,0.111111111111111
AFG,Kandahar Urban,2021,169954,237936,210583,140389,0,758862,350972,0.462497792747562,0.215832391133039,0.113055103855803
AFG,Kandahar Urban,2022,140389,245680,210583,140389,0,737041,350972,0.476190605407298,0.22222237297518,0.116402238440225
AFG,Kapisa,2017,82301,228614,137168,9145,0,457228,146313,0.320000087483706,0.113333683268158,0.0422225527162233
AFG,Kapisa,2018,211450,187955,56387,14097,0,469889,70484,0.150001383305419,0.0600006951996465,0.0266670544651089
AFG,Kapisa,2019,196749,239938,71981,23994,0,532662,95975,0.18017992648246,0.0750751258146191,0.0350351421518503
AFG,Kapisa,2020,219734,263931,95975,48830,0,628470,144805,0.23040877050615,0.102701799608573,0.0514998506072066
AFG,Kapisa,2021,195319,227186,194731,97365,0,714601,292096,0.408753975994996,0.18166827828863,0.0908340614008532
AFG,Kapisa,2022,194731,227186,194731,97365,0,714013,292096,0.409090590787563,0.181817884735059,0.0909088645600446
AFG,Khost,2017,330934,90845,129778,97334,0,648891,227112,0.350000231163632,0.166666923515146,0.0888890943676724
AFG,Khost,2018,292981,390641,195320,97660,0,976602,292980,0.29999938562485,0.133333060277711,0.0666665301388556
AFG,Khost,2019,281463,250189,87566,31274,0,650492,118840,0.182692485072837,0.0769233134304496,0.0363249834142635
AFG,Khost,2020,250189,286435,159131,63652,0,759407,222783,0.293364427770616,0.125727486490556,0.0605353914304187
AFG,Khost,2021,327784,286435,211534,84613,0,910366,296147,0.325305426608639,0.139416454480945,0.0671263596790253
AFG,Khost,2022,211534,338454,253840,84613,0,888441,338453,0.380951576975849,0.158729729942675,0.0740738239480418
AFG,Kunar,2017,249787,99915,99915,49957,0,499574,149872,0.299999599658909,0.133332932992243,0.0666663552902629
AFG,Kunar,2018,182438,319266,319266,91219,0,912189,410485,0.449999945186798,0.183333351604401,0.0833333637851123
AFG,Kunar,2019,171742,147207,122673,49069,0,490691,171742,0.350000305691362,0.150000033965707,0.0722221882565154
AFG,Kunar,2020,171742,196276,174788,74909,0,617715,249697,0.404226868377812,0.175164922334734,0.0853367293618866
AFG,Kunar,2021,149818,225022,232346,132769,0,739955,365115,0.493428654445203,0.224285711068015,0.114634898969081
AFG,Kunar,2022,132769,265539,232346,66385,0,697039,298731,0.428571428571429,0.174603334007614,0.0793652387695189
